CC(C)OCc1cccc(NC(=O)N2CCCCC2c2cn[nH]c2)c1 MolPort-029-918-525
CCNCc1cc(Cl)ccc1N(C)c1ccccc1C MolPort-035-150-696
COCc1ccccc1NC(=O)c1ccncc1F MolPort-033-426-915
O=C(O)CC1CCCN(c2ccc(C(F)(F)F)nn2)C1 MolPort-030-638-692
CC(CN(C)C)Nc1cc(Cl)ccc1C#N MolPort-031-133-404
CC(NC(=O)CCn1nc2ccccn2c1=O)C1CC2CCC1C2 MolPort-040-341-412
Cc1ncsc1C(C)NN1CCN(C)CC1 MolPort-031-210-506
COCCn1cc2c(n1)C(NC(=O)N1CCOC(c3cnn(C)c3)C1)CCC2 MolPort-039-777-601
COc1cccc(CNC2CCN(C(=O)OC(C)(C)C)C2)c1 MolPort-038-512-191
CCc1nnc(N2CCOCC2C(N)=O)c(C#N)c1CC MolPort-031-305-766
Cc1ccc2c(c1)C(Nc1cc3c(cc1Cl)OCO3)CC2 MolPort-030-585-863
CCC1NC(=O)C(CC)N(Cc2ncccn2)C1=O MolPort-021-664-862
CC1C(=O)N(c2ccc(F)cc2)CCN1Cc1ccc(F)cc1 MolPort-006-573-683
O=C(NC1=NN(c2ccccc2)C(=O)C1)c1ccc(Br)s1 MolPort-003-995-728
CNCc1ccc(S(=O)(=O)NC2(C)CCCCC2)nc1 MolPort-027-332-002
Cc1cc(S(=O)(=O)N2CCC[C@@H](N)C2)cc(C)c1F MolPort-042-780-299
CCC1(CC)CCN(CC2CC(C)CCC2O)C1 MolPort-026-260-790
CC1CCCN(c2ccc(CNC(C)(C)C)cc2Cl)C1C MolPort-024-064-932
CCc1c(C=O)cnn1-c1c(Cl)ccnc1O 324575626
CCOCC(C)NC(=O)c1cc(C)c(Br)s1 MolPort-026-030-363
CC(C)C1CNC2(CCCCC2)CN1CC1CCCCO1 MolPort-021-639-967
CCCN1CC(NCc2ccc(Cl)o2)CC1=O MolPort-046-178-550
CCc1ccnc(-n2cc(C#N)c(C3CCOC3)n2)c1 330826696
CCCC(C)N(C)CC(O)c1ccccc1F MolPort-038-454-595
O=C(Nc1nc(CC(=O)N2CCOCC2)cs1)NC1CCCC1 MolPort-003-444-333
CC(C)CCN(C)C(CN)c1ccc(Cl)c(F)c1 MolPort-012-471-089
CCNC(c1cc2cccc(Cl)c2o1)C(C)(CC)N(C)C MolPort-034-977-048
Clc1ccc(CCNc2ncccn2)s1 MolPort-038-462-397
Cc1c(Cl)ccc2c1NC(CCC(=O)O)C2 MolPort-029-718-844
Cl.Cl.O=C(CC1COCCN1)Nc1ccc(Oc2ccccn2)cc1 MolPort-041-550-281
O=C(O)c1ccc(Br)c2cncn12 345265101
Clc1cc(Br)ccc1OCc1cc(CNC2CC2)no1 MolPort-011-617-391
CC(C)c1ccc(NC(=O)CN2C(=O)NC(C)(C)C2=O)cc1 MolPort-005-589-947
Cc1cccc(C(=O)O)c1NS(=O)(=O)c1cc(F)ccc1F MolPort-005-378-004
CC(C)(N)CN1CCC(Oc2ccc(Cl)c(Cl)c2)C1.Cl MolPort-041-295-719
Cc1cccc2nc(N3CCN(CCC(=O)O)CC3C)sc12 Z3011781296
NC(=O)C1CCN(C(=O)Cc2csc(-c3ccccc3F)n2)CC1 MolPort-006-317-682
Cc1nc(C2CCCN2)c2cc(Br)ccc2n1 MolPort-038-070-136
CCN(c1ccc(N)cc1)S(=O)(=O)C1CCCC1 MolPort-033-216-553
COc1cc(-n2nc(C3CCCC3)cc2Cl)c(F)cn1 324655849
